0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:08:33 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:23 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:24 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:33 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:34 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:34 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:35 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:36 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:36 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:36 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:12:36 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:14:51 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:14:52 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:16:23 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:10 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:26 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:27 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
